"wave","class","mean_frontpg_1","mean_frontpg_2","n_students"
1,"class1",1.85185185185185,2,34
2,"class1",1.85185185185185,2,35
3,"class1",1.61111111111111,1.70588235294118,32
4,"class1",1.61538461538462,1.76923076923077,29
1,"class4",1.12903225806452,1.75862068965517,36
2,"class4",1.15625,1.75,39
3,"class4",1.3,1.75,37
4,"class4",1.35714285714286,1.625,24
1,"class5",1.3125,1.26923076923077,36
2,"class5",1.25,1.28571428571429,36
3,"class5",1.04545454545455,1.33333333333333,35
4,"class5",1,1.38888888888889,29
1,"class6",1.5,1.73684210526316,32
2,"class6",1.47826086956522,1.73684210526316,24
3,"class6",1.5,1.72727272727273,22
4,"class6",1.33333333333333,1.71428571428571,28
